movieID|Name|IMDBid|Year|url|rtid|crating|cscore|arating|ascore|genre
12|Dracula: Dead and Loving It|0112896|1995|http://ia.media-imdb.com/images/M/MV5BMTc3MjI0NjA0Nl5BMl5BanBnXkFtZTcwNDYwODUyMQ@@._V1._SY314_CR18,0,214,314_.jpg|dracula_dead_and_loving_it|3|20|2.8|52|Comedy^Horror
13|Balto|0112453|1995|http://ia.media-imdb.com/images/M/MV5BMTU4NTE3NDU1MF5BMl5BanBnXkFtZTYwMjg5Mjk5._V1._SY216_CR37,0,214,216_.jpg|balto|5.8|25|3.2|66|Animation^Children
14|Nixon|0113987|1995|http://ia.media-imdb.com/images/M/MV5BMTQ4ODUxNTU2OV5BMl5BanBnXkFtZTcwOTIwODMyMQ@@._V1._SY314_CR3,0,214,314_.jpg|nixon|6.7|66|3.5|72|Drama
15|Cutthroat Island|0112760|1995|http://ia.media-imdb.com/images/M/MV5BNjI5MjI5Njk3Ml5BMl5BanBnXkFtZTcwNTQwMTYyMQ@@._V1._SY216_CR39,0,214,216_.jpg|cutthroat_island|4.4|50|2.6|42|Action^Adventure^Romance
16|Casino|0112641|1995|http://ia.media-imdb.com/images/M/MV5BMTQ0NDk5NDc5OF5BMl5BanBnXkFtZTYwMDYyNDA5._V1._SX214_CR0,0,214,314_.jpg|1067987-casino|7.2|68|3.9|91|Crime^Drama
17|Sense and Sensibility|0114388|1995|http://ia.media-imdb.com/images/M/MV5BMTQzNjk2OTk3Nl5BMl5BanBnXkFtZTcwNzczNjYyMQ@@._V1._SY314_CR7,0,214,314_.jpg|1068832-sense_and_sensibility|7.9|92|3.8|88|Comedy^Drama^Romance
18|Four Rooms|0113101|1995|http://ia.media-imdb.com/images/M/MV5BMTcwOTMzODQ5MV5BMl5BanBnXkFtZTcwNjgyMjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg|four_rooms|3.5|0|3.5|72|Comedy^Drama^Thriller
19|Ace Ventura: When Nature Calls|0112281|1995|http://ia.media-imdb.com/images/M/MV5BMjA0NTc4OTk1Ml5BMl5BanBnXkFtZTcwNjA0NTQzMQ@@._V1._SY314_CR17,0,214,314_.jpg|ace_ventura_when_nature_calls|4.1|33|3.2|73|Comedy
20|Money Train|0113845|1995|http://ia.media-imdb.com/images/M/MV5BNDEwNzcyNjkzNl5BMl5BanBnXkFtZTcwNzQyMzYxMQ@@._V1._SY314_CR4,0,214,314_.jpg|money_train|4|20|2.7|38|Action^Comedy^Crime^Drama^Thriller
21|Get Shorty|0113161|1995|http://ia.media-imdb.com/images/M/MV5BMTIzMzk3NDgwNV5BMl5BanBnXkFtZTcwMDEzNDcyMQ@@._V1._SY314_CR17,0,214,314_.jpg|get_shorty|7.7|100|3.2|63|Action^Comedy^Drama
22|Copycat|0112722|1995|http://ia.media-imdb.com/images/M/MV5BMTI5NTU4MDk0MF5BMl5BanBnXkFtZTcwNDIwMTYyMQ@@._V1._SY216_CR35,0,214,216_.jpg|1065837-copycat|6.6|80|3.1|58|Crime^Drama^Horror^Mystery^Thriller
23|Ninja Assassin|1186367|2009|http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1._SX214_CR0,0,214,314_.jpg|1198524-ninja_assassin|4.3|30|3.4|58|Action^Crime^Thriller
24|Powder|0114168|1995|http://ia.media-imdb.com/images/M/MV5BMTIwMTQ3MjY2M15BMl5BanBnXkFtZTcwMTQ0NDUyMQ@@._V1._SX99_SY140_.jpg|powder|5.2|0|3.1|67|Drama^Sci-Fi
25|Leaving Las Vegas|0113627|1995|http://ia.media-imdb.com/images/M/MV5BMTIzOTEzMzQwNF5BMl5BanBnXkFtZTcwNjE0MTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg|leaving_las_vegas|7.7|100|3.6|82|Drama^Romance
26|Othello|0114057|1995|http://ia.media-imdb.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1._SY314_CR5,0,214,314_.jpg|1069707-othello|6.3|63|3.3|66|Drama
27|Now and Then|0114011|1995|http://ia.media-imdb.com/images/M/MV5BMTY4MjMwNzA1NF5BMl5BanBnXkFtZTcwNzEwNTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg|now_and_then|4.7|20|3.5|78|Drama
28|Persuasion|0114117|1995|http://ia.media-imdb.com/images/M/MV5BNTQ2NDkxNzUwNF5BMl5BanBnXkFtZTcwMzE4NTcyMQ@@._V1._SY314_CR14,0,214,314_.jpg|1066528-persuasion|7.7|100|3.9|82|Drama^Romance
29|La cite des enfants perdus|0112682|1995|http://ia.media-imdb.com/images/M/MV5BMTI4MDc0ODgyMV5BMl5BanBnXkFtZTcwNjAzMzAyMQ@@._V1._SY314_CR3,0,214,314_.jpg|city_of_lost_children|7|71|4|89|Adventure^Drama^Fantasy^Mystery^Sci-Fi
30|Yao a yao yao dao waipo qiao|0115012|1995|http://ia.media-imdb.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1._SY314_CR1,0,214,314_.jpg|shanghai_triad|6.8|75|3.6|70|Crime^Drama
31|Dangerous Minds|0112792|1995|http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1._SY314_CR1,0,214,314_.jpg|dangerous_minds|4.7|41|3.1|66|Drama
32|Twelve Monkeys|0114746|1995|http://ia.media-imdb.com/images/M/MV5BMTQwNzg2OTUzMV5BMl5BanBnXkFtZTYwMTg4ODU5._V1._SX214_CR0,0,214,314_.jpg|prem-no-public-issue|0|0|0|0|Sci-Fi^Thriller
33|Wings of Courage|0114952|1995|http://ia.media-imdb.com/images/M/MV5BMTc3ODY1MjA3OF5BMl5BanBnXkFtZTcwODgzOTgyMQ@@._V1._SX214_CR0,0,214,314_.jpg||0|50|0|0|Adventure^IMAX^Romance
34|Babe|0112431|1995|http://ia.media-imdb.com/images/M/MV5BMTIwNzY2OTIzN15BMl5BanBnXkFtZTcwNjcxODAzMQ@@._V1._SY314_CR6,0,214,314_.jpg|1065598-babe|8.2|100|3|54|Children^Comedy^Drama^Fantasy
35|Carrington|0112637|1995|http://ia.media-imdb.com/images/M/MV5BMTI5NjcxMjc4MV5BMl5BanBnXkFtZTcwOTEzMDYxMQ@@._V1._SX214_CR0,0,214,314_.jpg|carrington|6.2|80|3.5|68|Drama^Romance
36|Dead Man Walking|0112818|1995|http://ia.media-imdb.com/images/M/MV5BOTUxMDg5NTAzMF5BMl5BanBnXkFtZTcwNTYyOTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg|1068779-dead_man_walking|8.2|90|3.6|81|Crime^Drama
37|Across the Sea of Time|0112286|1995|http://ia.media-imdb.com/images/M/MV5BNTQyMTE3MzY4Nl5BMl5BanBnXkFtZTcwMzY5MTAyMQ@@._V1._SX78_SY140_.jpg|across_the_sea_of_time|0|0|2.9|27|Documentary^IMAX
38|It Takes Two|0113442|1995|http://ia.media-imdb.com/images/M/MV5BMTcyMjY3NzkwMV5BMl5BanBnXkFtZTcwNzE1NjUyMQ@@._V1._SY314_CR3,0,214,314_.jpg|1067137-it_takes_two|3.9|25|2.9|63|Comedy
39|Clueless|0112697|1995|http://ia.media-imdb.com/images/M/MV5BNjQxNTA1NjE5Ml5BMl5BanBnXkFtZTYwOTMwNzE5._V1._SY314_CR3,0,214,314_.jpg|school_of_senses|0|0|0|0|Comedy^Romance
40|Cry, the Beloved Country|0112749|1995|http://ia.media-imdb.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1._SY314_CR3,0,214,314_.jpg|1068781-cry_the_beloved_country|7.2|75|3.5|66|Drama
41|Richard III|0114279|1995|http://ia.media-imdb.com/images/M/MV5BMjEzMjAxOTQzMV5BMl5BanBnXkFtZTcwMTYyNjIyMQ@@._V1._SY314_CR0,0,214,314_.jpg|1068177-richard_iii|8.1|90|3.7|82|Drama^War
42|Dead Presidents|0112819|1995|http://ia.media-imdb.com/images/M/MV5BMzE0NTI0MTM5MV5BMl5BanBnXkFtZTcwMzYwMTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg|dead_presidents|5.7|58|3.3|75|Action^Crime^Drama
43|Restoration|0114272|1995|http://ia.media-imdb.com/images/M/MV5BMTI5MDM4OTQ0Ml5BMl5BanBnXkFtZTcwMzU2MTYyMQ@@._V1._SY314_CR1,0,214,314_.jpg|1069339-restoration|6.3|60|3.3|56|Drama
44|Mortal Kombat|0113855|1995|http://ia.media-imdb.com/images/M/MV5BMTI3MzM0ODE4Nl5BMl5BanBnXkFtZTcwMDA3MTgyMQ@@._V1._SY314_CR18,0,214,314_.jpg|mortal_kombat|4.4|33|2.8|55|Action^Adventure^Fantasy
45|Live Free or Die Hard|0337978|2007|http://ia.media-imdb.com/images/M/MV5BNDQxMDE1OTg4NV5BMl5BanBnXkFtZTcwMTMzOTQzMw@@._V1._SX214_CR0,0,214,314_.jpg|live_free_or_die_hard|6.8|78|3.9|86|Comedy^Drama^Thriller
46|How to Make an American Quilt|0113347|1995|http://ia.media-imdb.com/images/M/MV5BNzY3NTQ0NTM0NV5BMl5BanBnXkFtZTcwODkwMzgxMQ@@._V1._SY314_CR3,0,214,314_.jpg|how_to_make_an_american_quilt|5.6|83|3.2|58|Drama^Romance
47|Shichinin no samurai|0047478|1954|http://ia.media-imdb.com/images/M/MV5BNzg5Mzk5Nzc0NF5BMl5BanBnXkFtZTcwNjg3MDQzMQ@@._V1._SY314_CR4,0,214,314_.jpg|1018639-seven_samurai|9.2|100|4.5|97|Crime^Horror^Mystery^Thriller
48|Pocahontas|0114148|1995|http://ia.media-imdb.com/images/M/MV5BMTM5NDI5MzAwOV5BMl5BanBnXkFtZTcwODcwMjgyMQ@@._V1._SY314_CR5,0,214,314_.jpg|1063452-pocahontas|6|71|3.2|63|Animation^Children^Musical^Romance
49|When Night Is Falling|0114916|1995|http://ia.media-imdb.com/images/M/MV5BMTI2OTU5MDMzN15BMl5BanBnXkFtZTcwMTkxNTEzMQ@@._V1._SY314_CR2,0,214,314_.jpg|when_night_is_falling|5.7|25|3.9|83|Drama^Romance
50|The Usual Suspects|0114814|1995|http://ia.media-imdb.com/images/M/MV5BMTg0NzIyMTA3M15BMl5BanBnXkFtZTcwMDQ3MjI3Mw@@._V1._SX214_CR0,0,214,314_.jpg|usual_suspects|7.5|85|4.2|95|Crime^Mystery^Thriller
52|Mighty Aphrodite|0113819|1995|http://ia.media-imdb.com/images/M/MV5BMTUzMzE3Nzg5Ml5BMl5BanBnXkFtZTcwNTIxNDEyMQ@@._V1._SY314_CR3,0,214,314_.jpg|mighty_aphrodite|6.7|66|3.3|69|Comedy^Drama^Romance
53|Lamerica|0110299|1994|http://ia.media-imdb.com/images/M/MV5BMTk0MTI5MjU3MF5BMl5BanBnXkFtZTcwMjMzODUyMQ@@._V1._SY314_CR3,0,214,314_.jpg|lamerica|8|100|3.9|82|Adventure^Drama
54|The Big Green|0112499|1995|http://ia.media-imdb.com/images/M/MV5BMTMwODc3MDk3Nl5BMl5BanBnXkFtZTcwMTE5NTUyMQ@@._V1._SY314_CR5,0,214,314_.jpg|big_green|2.8|0|2.7|47|Children^Comedy
55|Georgia Rule|0791304|2007|http://ia.media-imdb.com/images/M/MV5BMTM2MDc3MTI0Nl5BMl5BanBnXkFtZTcwMzQ4ODU0MQ@@._V1._SX214_CR0,0,214,314_.jpg|georgia_rule|3.8|6|3|55|Drama
56|Kids of the Round Table|0113541|1997|http://ia.media-imdb.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1._SX214_CR0,0,214,314_.jpg|kids-of-the-round-table|0|0|0|0|Adventure^Children^Fantasy
57|Home for the Holidays|0113321|1995|http://ia.media-imdb.com/images/M/MV5BMjExMTMyNzU4MV5BMl5BanBnXkFtZTcwMzIwMDkxMQ@@._V1._SX214_CR0,0,214,314_.jpg|1066169-home_for_the_holidays|6|45|3.4|69|Drama
58|Il postino|0110877|1994|http://ia.media-imdb.com/images/M/MV5BMTkxNTc5NjE0NV5BMl5BanBnXkFtZTcwMTI2MTYyMQ@@._V1._SY301_CR1,0,214,301_.jpg|il_postino|7.9|100|4.1|92|Comedy^Drama^Romance
59|Le confessionnal|0112714|1995|http://ia.media-imdb.com/images/M/MV5BMTk2MDE1MTYyNl5BMl5BanBnXkFtZTcwMzc3NDEzMQ@@._V1._SX214_CR0,0,214,314_.jpg|confessional|0|0|0|0|Drama^Mystery
60|The Indian in the Cupboard|0113419|1995|http://ia.media-imdb.com/images/M/MV5BMTk0NjQ5NzQxMl5BMl5BanBnXkFtZTcwMDc5NjUyMQ@@._V1._SX214_CR0,0,214,314_.jpg|indian_in_the_cupboard|6.2|50|2.7|41|Adventure^Children^Fantasy
61|Eye for an Eye|0116260|1996|http://ia.media-imdb.com/images/M/MV5BMTUwMzc5NTk0NF5BMl5BanBnXkFtZTYwOTYyMzU5._V1._SX214_CR0,0,214,314_.jpg|1101753-eye|0|0|0|0|Drama^Thriller
62|Mr. Holland's Opus|0113862|1995|http://ia.media-imdb.com/images/M/MV5BMTUxODUxOTk2M15BMl5BanBnXkFtZTcwODk2NDYxMQ@@._V1._SY314_CR4,0,214,314_.jpg|mr_hollands_opus|6.7|83|3.5|79|Drama
63|Don't Be a Menace to South Central While Drinking Your Juice in the Hood|0116126|1996|http://ia.media-imdb.com/images/M/MV5BMTA3NjQ1Mzg4NTReQTJeQWpwZ15BbWU3MDcwNTQwMzE@._V1._SY314_CR3,0,214,314_.jpg|dont_be_a_menace|4.5|42|0|0|Comedy^Crime
64|Two If by Sea|0118002|1996|http://ia.media-imdb.com/images/M/MV5BMTY5MDcxNjY5MV5BMl5BanBnXkFtZTYwNDMxMTk5._V1._SX214_CR0,0,214,314_.jpg|two_if_by_sea|3.9|0|2.6|29|Comedy^Romance
65|Bio-Dome|0115683|1996|http://ia.media-imdb.com/images/M/MV5BMTc4NDg0ODQ4Ml5BMl5BanBnXkFtZTcwNDM4MDUyMQ@@._V1._SY314_CR3,0,214,314_.jpg|biodome|1.9|0|2.6|51|Comedy
66|Lawnmower Man 2: Beyond Cyberspace|0116839|1996|http://ia.media-imdb.com/images/M/MV5BMTg1MjM3OTEyNF5BMl5BanBnXkFtZTcwOTQ5MDEyMQ@@._V1._SY314_CR2,0,214,314_.jpg|lawnmower_man_2_jobes_war|2.8|33|2.1|18|Action^Sci-Fi^Thriller
67|Two Bits|0114753|1995|http://ia.media-imdb.com/images/M/MV5BMTY4NjA1Mzc2N15BMl5BanBnXkFtZTcwODI2NjYxMQ@@._V1._SY314_CR2,0,214,314_.jpg|two-bits|5|25|3.3|54|Drama
68|Gazon maudit|0113149|1995|http://ia.media-imdb.com/images/M/MV5BMTU5NjI5NDQ2MV5BMl5BanBnXkFtZTcwMDkzMzcxMQ@@._V1._SX214_CR0,0,214,314_.jpg|french_twist|6.1|25|3.4|58|Comedy^Romance
69|Friday|0113118|1995|http://ia.media-imdb.com/images/M/MV5BMTkxNjA2MjE0Nl5BMl5BanBnXkFtZTcwMjM3NzYzMQ@@._V1._SX214_CR0,0,214,314_.jpg|nothing_funny|0|0|0|0|Comedy
70|From Dusk Till Dawn|0116367|1996|http://ia.media-imdb.com/images/M/MV5BMTI0NzM0MzE4MV5BMl5BanBnXkFtZTcwNjgwODg0MQ@@._V1._SY314_CR3,0,214,314_.jpg|from_dusk_till_dawn|6|50|3.4|75|Action^Comedy^Horror^Thriller
71|Fair Game|0113010|1995|http://ia.media-imdb.com/images/M/MV5BMTQ4NjM0MDI1OF5BMl5BanBnXkFtZTcwMDQ1ODMyMQ@@._V1._SY314_CR12,0,214,314_.jpg|1065868-fair_game|2.4|12|2.1|16|Action
72|Kicking & Screaming|0384642|2005|http://ia.media-imdb.com/images/M/MV5BMTA5Njk1MjEzMzZeQTJeQWpwZ15BbWU3MDY3NjY4MjE@._V1._SX214_CR0,0,214,314_.jpg|kicking_and_screaming|5.1|38|3|51|Comedy^Drama
73|Les miserables|0119683|1998|http://ia.media-imdb.com/images/M/MV5BMTQ5Mzc5NDQ2Nl5BMl5BanBnXkFtZTcwNzUxNTIyMQ@@._V1._SY314_CR4,0,214,314_.jpg|1083326-les_miserables|6.9|54|3.6|81|Drama^War
74|Bed of Roses|0115644|1996|http://ia.media-imdb.com/images/M/MV5BMjg4MzcxMzk3M15BMl5BanBnXkFtZTcwNzkzOTMyMQ@@._V1._SY314_CR9,0,214,314_.jpg|bed_of_roses|5.3|20|3.2|66|Drama^Romance
75|Big Bully|0115676|1996|http://ia.media-imdb.com/images/M/MV5BMTM5OTk4OTA0MV5BMl5BanBnXkFtZTcwNjg1MjQyMQ@@._V1._SX214_CR0,0,214,314_.jpg|big_bully|2.8|0|2.4|23|Comedy^Drama
76|Screamers|0114367|1995|http://ia.media-imdb.com/images/M/MV5BMTY5NTQzMDkyMF5BMl5BanBnXkFtZTcwOTg1MTcyMQ@@._V1._SY314_CR0,0,214,314_.jpg|1069696-screamers|4.7|22|3|45|Action^Sci-Fi^Thriller
77|Nico Icon|0113973|1995|http://ia.media-imdb.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1._SX214_CR0,0,214,314_.jpg|nico_icon|7.1|80|4|85|Documentary
78|The Crossing Guard|0112744|1995|http://ia.media-imdb.com/images/M/MV5BMTQ4NDM4MTA0Nl5BMl5BanBnXkFtZTcwNzkxMjEyMQ@@._V1._SY314_CR1,0,214,314_.jpg|crossing_guard|6.5|50|3.3|56|Drama
79|The Juror|0116731|1996|http://ia.media-imdb.com/images/M/MV5BMTgwOTc5MjYzNl5BMl5BanBnXkFtZTcwMjYzMTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg|juror|4.4|16|2.8|39|Drama^Thriller
80|Badkonake sefid|0112445|1995|http://ia.media-imdb.com/images/M/MV5BMTQ0MTAxMjMxOF5BMl5BanBnXkFtZTcwODU4NjEyMQ@@._V1._SX77_SY140_.jpg|white_balloon|6.8|75|4|86|Children^Drama
81|Things to Do in Denver When You're Dead|0114660|1995|http://ia.media-imdb.com/images/M/MV5BMTgxODc5NzYzNl5BMl5BanBnXkFtZTcwOTg0MjkxMQ@@._V1._SY314_CR8,0,214,314_.jpg|things_to_do_in_denver_when_youre_dead|4.9|20|3.5|72|Crime^Drama^Romance
82|Antonia|0112379|1995|http://ia.media-imdb.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1._SY314_CR1,0,214,314_.jpg|antonias_line|6.5|90|4.2|90|Comedy^Drama
83|Once Upon a Time... When We Were Colored|0114039|1995|http://ia.media-imdb.com/images/M/MV5BMTI4NDk2MDcyNV5BMl5BanBnXkFtZTcwMTQxNTMyMQ@@._V1._SX214_CR0,0,214,314_.jpg|once-upon-a-timewhen-we-were-colored|7.3|100|3.7|76|Drama
84|Last Summer in the Hamptons|0113612|1995|http://ia.media-imdb.com/images/M/MV5BMTY2OTM4MDI2OV5BMl5BanBnXkFtZTcwNTQxMTYxMQ@@._V1._SX214_CR0,0,214,314_.jpg|last_summer_in_the_hamptons|5.6|100|3.3|47|Comedy^Drama
85|Angels and Insects|0112365|1995|http://ia.media-imdb.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@._V1._SY314_CR2,0,214,314_.jpg|angels_and_insects|6.5|100|3.3|62|Drama^Romance
86|White Squall|0118158|1996|http://ia.media-imdb.com/images/M/MV5BMTI5NjIzMTI5OV5BMl5BanBnXkFtZTcwMjY0MzAyMQ@@._V1._SY314_CR2,0,214,314_.jpg|white_squall|5.8|70|3.2|62|Adventure^Drama
87|Dunston Checks In|0116151|1996|http://ia.media-imdb.com/images/M/MV5BMTM2OTI4ODAxMl5BMl5BanBnXkFtZTcwODUzMzYyMQ@@._V1._SY314_CR3,0,214,314_.jpg|dunston_checks_in|3.8|25|2.5|39|Children^Comedy
88|Black Sheep|0779982|2006|http://ia.media-imdb.com/images/M/MV5BNzcwMTA1MjEzMl5BMl5BanBnXkFtZTcwNzE0MzQ0MQ@@._V1._SX214_CR0,0,214,314_.jpg|black_sheep|6.4|71|3.2|54|Comedy
89|Nick of Time|0113972|1995|http://ia.media-imdb.com/images/M/MV5BMjEyMTk0ODYzM15BMl5BanBnXkFtZTYwNzQ4Mjg5._V1._SX150_SY220_.jpg|nick_of_time|4.6|0|3.1|54|Action^Thriller
90|The Journey of August King|0113490|1995|http://ia.media-imdb.com/images/M/MV5BMjA2MTMxMDQyMV5BMl5BanBnXkFtZTcwMDEzMzcyMQ@@._V1._SX214_CR0,0,214,314_.jpg|journey_of_august_king|6.2|50|3.1|54|Drama
92|Mary Reilly|0117002|1996|http://ia.media-imdb.com/images/M/MV5BMTcxODgwNTM5MF5BMl5BanBnXkFtZTcwNTM0MjMyMQ@@._V1._SY314_CR2,0,214,314_.jpg|mary_reilly|4.4|22|2.8|41|Drama^Horror^Thriller
93|Vampire in Brooklyn|0114825|1995|http://ia.media-imdb.com/images/M/MV5BMTI1MTQ3NzE0MV5BMl5BanBnXkFtZTcwNDAwNzIyMQ@@._V1._SY314_CR3,0,214,314_.jpg|vampire_in_brooklyn|3.6|0|2.4|37|Comedy^Romance
94|Beautiful Girls|0115639|1996|http://ia.media-imdb.com/images/M/MV5BMTI4NjU0NDM0NV5BMl5BanBnXkFtZTYwODU5MjY5._V1._SY314_CR1,0,214,314_.jpg|beautiful_girls|7|64|3.6|79|Comedy^Drama^Romance
95|Broken Arrow|0115759|1996|http://ia.media-imdb.com/images/M/MV5BMjE0NjIwODI0Nl5BMl5BanBnXkFtZTcwMDM5MDYyMQ@@._V1._SX214_CR0,0,214,314_.jpg|1069241-broken_arrow|5.8|50|2.9|51|Action^Adventure^Thriller
96|In the Bleak Midwinter|0113403|1995|http://ia.media-imdb.com/images/M/MV5BMTIyMDEwMDAyMl5BMl5BanBnXkFtZTYwOTUwNTk4._V1._SX214_CR0,0,214,314_.jpg|midwinters_tale|7.3|66|4.1|88|Comedy^Drama
97|La haine|0113247|1995|http://ia.media-imdb.com/images/M/MV5BMTc1ODkwNTI0OV5BMl5BanBnXkFtZTcwNDA2MjEyMQ@@._V1._SY314_CR5,0,214,314_.jpg|hate|8|100|4.3|95|Drama
98|Going Shopping|0295605|2005|http://ia.media-imdb.com/images/M/MV5BMTc5MTQ3MzA0M15BMl5BanBnXkFtZTcwNzk4MDE0MQ@@._V1._SY314_CR3,0,214,314_.jpg|going_shopping|5|33|2.8|37|Action^Thriller
99|Heidi Fleiss: Hollywood Madam|0113283|1995|http://ia.media-imdb.com/images/M/MV5BMTc4NDc5NzQzNF5BMl5BanBnXkFtZTcwMDUyODkxMQ@@._V1._SY314_CR5,0,214,314_.jpg|heidi_fleiss_hollywood_madam|7.5|80|3|46|Documentary
100|City Hall|0115907|1996|http://ia.media-imdb.com/images/M/MV5BMTQxNzEzMzQwN15BMl5BanBnXkFtZTcwOTk5MDYyMQ@@._V1._SY292_CR1,0,214,292_.jpg|city_hall|6.1|50|3|42|Drama^Thriller
101|Bottle Rocket|0115734|1996|http://ia.media-imdb.com/images/M/MV5BMTk1ODI3NzA2NV5BMl5BanBnXkFtZTcwNTI0MTEyMQ@@._V1._SY314_CR3,0,214,314_.jpg|bottle_rocket|6.6|55|3.7|80|Adventure^Comedy^Crime^Romance
102|Mr. Wrong|0117102|1996|http://ia.media-imdb.com/images/M/MV5BMTM0MTAxMjcyMl5BMl5BanBnXkFtZTcwMTIzMTEyMQ@@._V1._SY314_CR3,0,214,314_.jpg|mr_wrong|3.1|0|2.4|29|Comedy
103|Unforgettable|0118040|1996|http://ia.media-imdb.com/images/M/MV5BNDM1MDg5MzY4OV5BMl5BanBnXkFtZTcwMDM5NjgyMQ@@._V1._SY314_CR2,0,214,314_.jpg|unforgettable|4.4|0|3|36|Mystery^Sci-Fi^Thriller
104|Happy Gilmore|0116483|1996|http://ia.media-imdb.com/images/M/MV5BMjE1MzgxNjIyN15BMl5BanBnXkFtZTcwMjkzMjYyMQ@@._V1._SY314_CR6,0,214,314_.jpg|happy_gilmore|5.5|36|3.7|83|Comedy
105|The Bridges of Madison County|0112579|1995|http://ia.media-imdb.com/images/M/MV5BMTQ5NzcyODM1Ml5BMl5BanBnXkFtZTcwODQwMDQyMQ@@._V1._SY314_CR6,0,214,314_.jpg|bridges_of_madison_county|7.2|100|3.6|83|Drama^Romance
